date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-2.9,-3.9,4,0.2,,358,3.8,11.2,1011.2,
2021-01-02,-0.2,-0.1,4.5,7.9,,0,4.3,11.2,1014,
2021-01-03,2,2.9,4.8,0,,360,4.7,11.2,1011.8,
2021-01-04,2.1,1.6,3.9,1.4,,360,4.5,33.5,1013,
2021-01-05,2.2,1.6,5.9,9,10,1,6.2,46.4,1011.5,
2021-01-06,0.3,0.5,2.7,0,20,358,6,27.7,1010.8,
2021-01-07,-1.9,-2.4,1.9,0,10,360,4.7,31.3,1015.8,
2021-01-08,-1.1,-1.4,3.3,0,10,360,4.2,11.2,1016.8,
2021-01-09,-3.3,-5.2,3.3,0,,360,4.1,11.2,1022.2,
2021-01-10,-2.6,-1.8,0.1,1.7,10,360,4.7,11.2,1024.1,
2021-01-11,-5.9,-6.5,1.8,0,10,0,4.1,11.2,1023.7,
2021-01-12,-6.9,-9.1,-0.8,0,10,360,3.9,11.2,1017.3,
2021-01-13,-2.4,-4.5,4.8,0,10,354,5.2,35.3,1014.5,
2021-01-14,-1.9,-4.9,3.9,0.5,10,340,10.7,57.6,1013,
2021-01-15,-4.6,-6.4,3,0,10,5,5.9,31.7,1020.8,
2021-01-16,-3.2,-4.5,1.8,0,10,0,6,18.4,1022.3,
2021-01-17,-3.6,-4.4,0,0.3,10,360,5.4,14.8,1019.7,
2021-01-18,-3.9,-3.9,0,0,10,360,4.7,11.2,1024.4,
2021-01-19,-3.7,-5.7,1.9,0,10,360,3.8,7.6,1022.2,
2021-01-20,0.6,-1.6,9.4,0,10,360,5.9,20.5,1015.9,
2021-01-21,5.9,-0.3,11.8,0,10,342,9.6,33.5,1009.8,
2021-01-22,6.7,1.7,12.4,1.4,10,1,9.2,33.5,1003.6,
2021-01-23,4.3,3.5,7.9,12.2,,1,8.1,38.9,997.2,
2021-01-24,0.9,0.7,4.4,0.5,10,0,5.4,16.6,999.3,
2021-01-25,-1.6,-2.9,4.7,0,10,360,5.7,14.8,1003.9,
2021-01-26,-1.9,-3.6,4.5,0,10,0,5.1,14.8,1014.2,
2021-01-27,-2.1,-4.2,5.3,0,10,1,4.8,14.8,1017.3,
2021-01-28,-1.2,-2.8,3.6,1,10,360,4.1,13,1010.5,
2021-01-29,-0.7,-0.9,5.8,0,10,360,4.8,20.5,1001.9,
2021-01-30,1.6,-1.1,11.9,3.5,10,7,5.9,29.5,1000.6,
2021-01-31,-0.4,-1.1,7.3,0.3,20,4,5.1,22.3,1005,
2021-02-01,-2.6,-3.7,3.5,0,10,360,4.2,13,1003.3,
2021-02-02,-0.6,-2.3,7.3,0,10,360,4.8,14.8,1010.5,
2021-02-03,2.2,-0.7,12.8,0,10,0,4.4,18.4,1009.8,
2021-02-04,6.4,1.4,17,0,10,359,7.5,33.5,1014.2,
2021-02-05,4.8,2.4,12.9,0,10,360,4.7,51.8,1015.9,
2021-02-06,3.5,1.7,10.3,0,,2,5.2,27.7,1012,
2021-02-07,5.3,2.2,9.8,3.9,,1,6,25.9,1001,
2021-02-08,3.3,1.3,8.2,14.2,,2,8.1,24.1,995.9,
2021-02-09,0.9,1,2.6,6.1,10,358,5,11.2,1002.5,
2021-02-10,0.4,0.8,3.5,0,,0,4.7,16.6,1003.9,
2021-02-11,-1.8,-4.1,2.8,0,,64,14.7,48.2,1018.3,
2021-02-12,-5.9,-8,-0.6,0,,108,5.5,25.9,1031.9,
2021-02-13,-2.6,-9.9,0.7,0,10,17,8,42.5,1036.5,
2021-02-14,-2.6,-7.6,3.5,0,10,359,12.5,44.6,1038.9,
2021-02-15,-3.8,-8.6,4.1,0,10,360,4.8,14.8,1037.7,
2021-02-16,1,-1.1,6.5,0,10,1,4.4,13,1025.9,
2021-02-17,3.6,-0.6,14.8,0,10,358,5.4,27.7,1019.7,
2021-02-18,3.6,-0.6,13.6,0,10,5,6.3,22.3,1022.2,
2021-02-19,1.9,0.3,15.2,0,,5,5.7,,1021.3,
2021-02-20,6.6,1.2,13,0,,3,5.3,18.4,1025.1,
2021-02-21,4.4,4.8,9.4,0,,0,5.9,16.6,1026.1,
2021-02-22,3.8,-1.1,16.4,0,,2,4,13,1026.6,
2021-02-23,7,0.1,19.8,0,10,0,5.3,14.8,1034.4,
2021-02-24,8.1,2.9,19.9,0,,360,4.5,14.8,1036.8,
2021-02-25,7.8,2.6,18.7,0,,1,4.4,18.4,1032.5,
2021-02-26,8.2,2.1,20.4,1.7,,360,5.2,16.6,1027.8,
2021-02-27,6,5.5,13.4,0,,4,8.9,31.7,1031.6,
2021-02-28,2.9,-1.2,10.9,0,,360,5.3,20.5,1036.2,
2021-03-01,3.9,-1.5,14.3,0,,7,5.5,25.9,1034,
2021-03-02,4.1,-1.1,14,0,,360,4.8,18.4,1035.6,
2021-03-03,5.3,-1.4,16.4,0,,360,4.5,18.4,1030.7,
2021-03-04,7.2,2.5,15.9,0,,359,5.3,51.8,1019.6,
2021-03-05,5.4,4.6,13.5,0,,13,8,22.3,1017.8,
2021-03-06,0.7,-2.6,6.7,0,10,0,5.1,25.9,1032.7,
2021-03-07,0.4,-5.2,9,0,10,0,5.3,25.9,1025.1,
2021-03-08,4.3,0.3,11.7,0,,59,9.8,31.7,1018.7,
2021-03-09,2.5,1.7,6,0,,4,7.1,20.5,1020.3,
2021-03-10,2.2,-0.1,7.4,0,,360,4.8,27.7,1020.3,
2021-03-11,1.1,-1.5,6.5,0.1,,360,4.4,11.2,1017.2,
2021-03-12,6.8,1.9,14.1,0.3,,16,9.8,33.5,1012.6,
2021-03-13,6.9,0.5,13.4,1.6,,7,9.5,35.3,1011.7,
2021-03-14,4.4,4,10.1,3.7,,359,8,33.5,1008.6,
2021-03-15,4.6,0,10.8,0,10,356,8.7,38.9,1009.6,
2021-03-16,4.3,-0.7,9.6,0,,350,14,50,1014.3,
2021-03-17,2.7,-1.4,8.6,0,,356,12.9,40.7,1017.8,
2021-03-18,1.5,-1.1,7.9,0,10,4,7.4,40.7,1019.2,
2021-03-19,1.3,-3.2,7.5,0.9,10,3,7.1,31.7,1017.6,
2021-03-20,-1,-1.6,2.8,6.2,10,7,7.8,33.5,1023.2,
2021-03-21,-1.7,-8.4,2.6,0,10,360,5.1,16.6,1019.8,
2021-03-22,2.7,-1.6,8,0,10,354,16.4,54,1016,
2021-03-23,3.2,-1.7,9.4,0,,357,12.8,44.6,1023.2,
2021-03-24,5.4,-1.1,16.1,0,,6,7.9,27.7,1023.5,
2021-03-25,5.9,-0.6,16.3,0,,13,6,29.5,1022.8,
2021-03-26,8.6,1.7,19.3,0,,7,7.1,29.5,1022.3,
2021-03-27,10,3.1,20.7,3.1,,5,9.8,47,1021,
2021-03-28,7.1,6.3,11.4,0,,15,7.7,27.7,1031.9,
2021-03-29,10.5,3.1,19.3,0.1,,360,4.5,16.7,1032.7,
2021-03-30,13.8,7.9,23.7,0,,0,5.4,18.5,1030.5,
2021-03-31,13.9,6.7,24.1,0,,2,5.6,20.5,1025.5,
2021-04-01,15.8,7.3,25.8,0,,355,6.8,20.4,1016.7,
2021-04-02,14.1,12.7,20.7,1.5,,18,9.5,25.9,1013,
